THERMAL ZONE: P1-6-COMMERCE 1-Cooling,THERMAL ZONE: HALL-1-7-Cooling,THERMAL ZONE: HALL-1-6-Cooling,,timestep
25.765854,24.152771,23.866762,,99
24.987642,24.562042,23.438519,,100
25.929962,25.544266,25.265106,,101
22.229559,22.490856,25.411655,,102
24.663223,22.438263,24.204988,,103
22.307474,25.199165,24.027908,,104
24.638233,24.671196,25.619856,,105
23.991652,23.617123,25.16383,,106
24.462845,24.470129,23.453829,,107
25.593195,22.476234,22.608082,,108
22.526358,22.221165,24.777636,,109
24.03885,25.30311,23.614878,,110
23.138754,25.34387,22.976206,,111
23.77205,23.192488,25.2948,,112
22.044575,22.36485,22.392937,,113
22.158655,22.509052,24.188087,,114
22.386263,25.67723,24.889233,,115
25.444973,25.301773,23.27424,,116
23.213148,25.670204,25.696493,,117
22.371397,25.377337,24.936409,,118
22.842573,22.398243,22.770374,,119
23.845295,24.00337,23.938725,,120
25.965294,25.722918,25.687084,,121
25.651318,22.890457,23.181934,,122
22.196068,23.831062,23.502075,,123
22.376043,25.45769,24.935043,,124
23.515324,24.611233,24.380312,,125
22.232826,24.694815,23.263226,,126
22.712404,23.042994,24.62341,,127
24.501282,24.579418,25.665691,,128
22.075617,22.442007,22.843483,,129
24.890764,25.564404,25.45593,,130
24.992022,22.918947,23.683945,,131
24.607141,25.335863,22.398605,,132
24.228033,25.430836,24.77447,,133
24.718388,25.543083,23.817652,,134
23.084063,22.44278,24.709185,,135
22.22452,25.309713,22.507116,,136
24.515278,25.250452,22.92683,,137
22.214031,25.28095,22.357582,,138
22.985813,23.945402,23.841278,,139
25.600695,22.87483,22.336975,,140
24.337585,23.90087,25.544575,,141
22.209455,24.164377,23.396366,,142
25.704828,24.084602,22.897472,,143
25.674889,22.861097,23.612019,,144
24.893566,24.331802,23.78816,,145
23.554768,22.40459,22.30287,,146
25.873512,25.194988,24.65472,,147
22.095432,22.581009,23.041346,,148
22.228754,23.39482,24.494,,149
25.90694,25.279346,25.138636,,150
22.206558,23.58181,23.929674,,151
24.933998,23.36615,25.515705,,152
24.489826,25.45316,23.551321,,153
24.640167,24.544416,23.326153,,154
25.04042,23.040682,22.395195,,155
22.133629,22.353043,23.918655,,156
25.58893,22.670624,22.341194,,157
24.75863,22.51036,23.960957,,158
25.897797,24.49615,25.766403,,159
22.83205,24.283464,24.296343,,160
22.137865,23.654795,22.688904,,161
22.292969,25.263063,23.717415,,162
23.18669,25.55521,25.455902,,163
23.678812,22.579851,24.497421,,164
25.918533,24.959578,25.655485,,165
23.997952,24.279116,23.425077,,166
24.515902,22.937487,23.771378,,167
25.777695,25.368786,22.852032,,168
23.815668,22.439877,23.090878,,169
23.684528,23.328083,25.10742,,170
24.529673,24.603956,23.97176,,171
24.952728,22.27397,22.749027,,172
24.527819,23.601782,23.744274,,173
22.20998,23.979435,23.590221,,174
24.559622,22.659569,22.469126,,175
25.11422,24.58352,23.52254,,176
25.722824,22.630684,24.657328,,177
25.731043,24.851097,22.57664,,178
24.3861,25.550453,23.325634,,179
23.16251,23.37294,24.007185,,180
23.158426,25.291357,22.70695,,181
25.685434,23.231245,23.421125,,182
23.183372,24.743532,25.564257,,183
22.420858,22.411476,22.41372,,184
22.324707,25.573244,23.946789,,185
22.275452,24.172174,24.510506,,186
23.116825,25.48041,22.569374,,187
24.493061,22.526049,23.097448,,188
25.609331,22.600159,22.75846,,189
23.45358,23.796654,24.01075,,190
25.235353,22.426832,25.412127,,191
22.403667,23.439089,25.573792,,192
22.743845,23.575548,24.014137,,193
22.250679,24.699858,23.561686,,194
22.216446,25.28521,22.394371,,195
23.70485,25.616014,22.666355,,196
22.846544,23.166254,23.239933,,197
23.681923,23.732378,24.985819,,198
25.230206,24.589216,25.511438,,199
22.532911,24.300013,22.839642,,200
25.753197,24.131588,23.67276,,201
22.88647,24.103495,24.581562,,202
24.266052,22.96076,22.955736,,203
23.169828,22.886333,24.782011,,204
23.798374,22.618015,23.916092,,205
22.258308,23.171608,25.219631,,206
22.788319,24.135994,23.950895,,207
24.475803,22.657764,25.586355,,208
25.373728,22.736744,24.366407,,209
24.350273,23.276657,23.110455,,210
24.5437,25.539515,24.436007,,211
24.162468,25.720715,25.626873,,212
25.84107,25.14072,24.157463,,213
23.783493,25.395609,25.26869,,214
22.31539,25.232874,24.12874,,215
25.920918,25.029387,25.626213,,216
24.319405,23.21461,22.347267,,217
23.270494,22.697657,23.978867,,218
23.660252,25.544891,23.488676,,219
23.405321,22.454422,25.505466,,220
25.586765,22.555494,22.419525,,221
24.4462,23.849215,25.690239,,222
22.371986,24.122585,23.114977,,223
25.839325,24.594933,24.673605,,224
25.73085,22.645082,24.779354,,225
24.376886,23.431665,22.36061,,226
23.711943,25.347599,22.3861,,227
23.875134,24.945452,23.885508,,228
25.645844,22.877073,23.102283,,229
25.730852,23.634748,23.789742,,230
22.592112,22.516644,22.609245,,231
25.844238,25.271149,24.080912,,232
25.926514,25.206558,25.54418,,233
25.756102,25.387575,22.466162,,234
23.093847,25.28973,24.06748,,235
25.789793,23.80342,24.62305,,236
24.381752,22.807867,23.044643,,237
25.868467,25.726793,24.037142,,238
24.826653,22.501823,22.35279,,239
24.962603,23.760994,23.337383,,240
25.50704,24.173765,24.332685,,241
23.267963,25.311083,24.882673,,242
24.467794,24.986572,24.422903,,243
22.31282,24.288715,22.937729,,244
22.403097,25.317673,22.263687,,245
24.143013,23.839401,25.540565,,246
24.429203,25.471315,22.49178,,247
24.717293,23.784021,22.445686,,248
22.29112,24.79848,24.150562,,249
23.721008,23.476414,24.778177,,250
23.220398,25.02311,22.416668,,251
24.712004,25.269964,24.668211,,252
22.287462,25.402046,23.484821,,253
